"ID_Beneficiario","Fecha_Intervencion","Municipio","Tipo_Actividad","Genero","Edad","Tipo_Poblacion","Costo_Intervencion","Nivel_Satisfaccion"
1,2025-04-04,"Bucaramanga","Taller de Gestión del Riesgo","Femenino",18,"Padre/Madre",21000,4
2,2024-10-05,"Bucaramanga","Apoyo Psicosocial","Masculino",16,"Padre/Madre",102000,3
3,2025-05-24,"Cúcuta","Apoyo Psicosocial","Masculino",17,"Padre/Madre",176000,3
4,2024-07-05,"Pasto","Taller de Gestión del Riesgo","Femenino",23,"Lider Comunitario",226000,4
5,2024-09-22,"Pasto","Entrega de Kits Escolares","M",22,"Estudiante",30000,5
6,2025-04-05,"Cúcuta","Formación a Docentes","Femenino",14,"Padre/Madre",165000,4
7,2025-06-22,"Pasto","Entrega de Kits Escolares","Masculino",12,"Estudiante",110000,3
8,2025-01-07,"Bucaramanga","Entrega de Kits Escolares","hombre",20,"Lider Comunitario",NA,4
9,2025-02-10,"Bucaramanga","Formación a Docentes","Femenino",19,"Padre/Madre",190000,2
10,2025-07-24,"Pasto","Apoyo Psicosocial","Masculino",18,"Estudiante",91000,4
11,2024-06-07,"Cúcuta","Adecuación de Aulas","F",8,"Estudiante",105000,5
12,2024-05-21,"Pasto","Entrega de Kits Escolares","Masculino",1,"Lider Comunitario",234000,5
13,2025-07-02,"Cúcuta","Entrega de Kits Escolares","Masculino",30,"Estudiante",115000,5
14,2025-07-28,"Cúcuta","Apoyo Psicosocial","hombre",12,"Padre/Madre",169000,4
15,2025-09-21,"Pamplona","Taller de Gestión del Riesgo","M",14,"Docente",104000,1
16,2024-03-28,"Cúcuta","Taller de Gestión del Riesgo","Masculino",11,"Docente",204000,4
17,2024-07-13,"Tibú","Apoyo Psicosocial","M",12,"Estudiante",118000,4
18,2025-11-16,"Cúcuta ","Formación a Docentes","F",15,"Docente",165000,3
19,2025-01-05,"Bucaramanga","Apoyo Psicosocial","Masculino",5,"Lider Comunitario",92000,5
20,2024-11-01,"Cúcuta","Taller de Gestión del Riesgo","Masculino",26,"Padre/Madre",93000,2
21,2024-02-28,"Pamplona","Apoyo Psicosocial","Masculino",17,"Docente",NA,NA
22,2024-11-12,"Cúcuta","Entrega de Kits Escolares","F",25,"Estudiante",106000,3
23,2025-06-11,"Cúcuta","Apoyo Psicosocial","Femenino",10,"Lider Comunitario",NA,4
24,2025-07-17,"Pamplona","Taller de Gestión del Riesgo","Masculino",14,"Estudiante",193000,5
25,2024-07-04,"Bucaramanga","Taller de Gestión del Riesgo","Masculino",-5,"Docente",116000,4
26,2024-05-23,"Cúcuta","Formación a Docentes","F",-6,"Docente",223000,4
27,2024-02-18,"Cúcuta","Adecuación de Aulas","Masculino",4,"Docente",56000,4
28,2025-02-02,"Cúcuta","Adecuación de Aulas","Masculino",17,"Docente",215000,1
29,2024-02-19,"Bucaramanga","Entrega de Kits Escolares","Femenino",26,"Padre/Madre",43000,2
30,2025-09-17,"Bucaramanga","Entrega de Kits Escolares","Masculino",30,"Estudiante",234000,3
31,2024-07-03,"Cúcuta","Entrega de Kits Escolares","Femenino",6,"Estudiante",229000,3
32,2024-04-16,"Bucaramanga","Formación a Docentes","Femenino",14,"Padre/Madre",83000,5
33,2025-05-05,"Pamplona","Entrega de Kits Escolares","Masculino",6,"Lider Comunitario",102000,4
34,2025-03-08,"Bucaramanga","Taller de Gestión del Riesgo","Masculino",5,"Padre/Madre",220000,5
35,2024-10-28,"Bucaramanga","Taller de Gestión del Riesgo","Masculino",11,"Estudiante",87000,3
36,2025-06-19,"Arauca","Taller de Gestión del Riesgo","No binario",2,"Lider Comunitario",76000,1
37,2025-04-05,NA,"Formación a Docentes","Masculino",14,"Docente",60000,5
38,2025-05-17,"Bucaramanga","Apoyo Psicosocial","Masculino",6,"Padre/Madre",59000,4
39,2025-06-22,"Tibú","Apoyo Psicosocial","Femenino",27,"Lider Comunitario",238000,5
40,2024-05-23,"Tibú","Apoyo Psicosocial","Femenino",8,"Estudiante",34000,4
41,2024-08-01,"Cúcuta","Taller de Gestión del Riesgo","Femenino",17,"Padre/Madre",145000,4
42,2024-10-30,"Tibú","Adecuación de Aulas","Femenino",35,"Padre/Madre",188000,3
